Ration_ID,Name,Age,Gender,Address,Phone_No,Aadhaar_ID,Block,Income_Level,Dependent1_Name,Dependent1_Aadhaar_ID,Dependent1_Relation,Dependent1_Age,Dependent2_Name,Dependent2_Aadhaar_ID,Dependent2_Relation,Dependent2_Age,Dependent3_Name,Dependent3_Aadhaar_ID,Dependent3_Relation,Dependent3_Age,Dependent4_Name,Dependent4_Aadhaar_ID,Dependent4_Relation,Dependent4_Age,Dependent5_Name,Dependent5_Aadhaar_ID,Dependent5_Relation,Dependent5_Age,Rice_Entitled,Rice_Claimed,Wheat_Entitled,Wheat_Claimed,Sugar_Entitled,Sugar_Claimed,Kerosene_Entitled,Kerosene_Claimed,ToorDal_Entitled,ToorDal_Claimed,ChanaDal_Entitled,ChanaDal_Claimed,UradDal_Entitled,UradDal_Claimed,Salt_Entitled,Salt_Claimed,MustardOil_Entitled,MustardOil_Claimed,SunflowerOil_Entitled,SunflowerOil_Claimed,Subsidy_Availed,Percent_Ration_Left,Num_Dependents,Over_Claim_Flag,Duplicate_Aadhaar_Flag,Income_Subsidy_Mismatch,Fraud_Label
RAT10022,Barkha Soman,45,Female,"H.No. 62, Khatri Road, Morbi 528328",9054187383421,934301597138,Block4,Medium,Geetika,191881817594,Daughter,2,Yashodhara,705362706198,Spouse,2,Ira,191890538434,Spouse,50,Naveen,398331743784,Spouse,35,Reva,527319792620,Spouse,59,4,4,2,2,1,1,5,5,1,1,4,4,2,2,5,5,3,3,4,4,Yes,0.0,5,0,0,0,1
RAT10023,Laksh Biswas,29,Male,"H.No. 50, Ramachandran Street, Chapra-274133",2549216371221,804727696016,Block2,Low,Maanas,543038604580,Daughter,26,Jagvi,772436088229,Daughter,51,Lakshit,208267028875,Daughter,32,Hitesh,280645170750,Spouse,43,Ryan,884711257002,Daughter,59,2,3,3,3,3,3,2,3,2,2,2,2,2,2,5,5,3,3,3,3,No,-7.41,5,1,0,0,1
RAT10024,Harinakshi Mani,33,Male,"013, Sethi Chowk, Burhanpur 085375",1995730288563,960963725977,Block3,Medium,Ekaraj,256217861170,Daughter,48,Balendra,899754837650,Son,36,Daniel,755833163432,Spouse,16,Nandini,474812828457,Spouse,20,,,,,2,2,5,5,3,3,1,1,4,4,1,1,2,2,2,3,1,1,3,3,No,-4.17,4,1,0,0,1
RAT10025,Hemal Sunder,60,Male,"005, Sodhi Marg, Nangloi Jat-341127",2995653430230,792118403177,Block4,Low,Bhavani,414932585176,Daughter,11,Darika,428472282013,Spouse,25,Pranit,914707367365,Spouse,6,,,,,,,,,5,5,3,5,1,1,2,2,2,2,2,4,4,4,4,4,2,2,4,4,No,-13.79,3,1,0,0,1
RAT10026,Chandani Dhawan,36,Female,"076, Badami Circle, Deoghar-008692",0256778441708,580528224648,Block2,Low,Ekanta,634608806872,Daughter,12,Idika,371684767678,Spouse,7,,,,,,,,,,,,,3,3,1,1,4,4,1,1,4,4,1,1,1,1,3,3,2,2,3,3,No,0.0,2,0,0,0,0
RAT10027,Chaitanya Barad,55,Male,"H.No. 365, Taneja Marg, Narasaraopet-389885",4034203693088,566681163609,Block5,Low,Qarin,785000835476,Daughter,59,Kashish,527903863820,Parent,41,,,,,,,,,,,,,1,1,4,4,4,4,5,5,4,6,2,2,3,3,1,1,1,1,5,5,Yes,-6.67,2,1,0,0,1
RAT10028,Amara Ramesh,37,Male,"H.No. 445, Ranganathan Street, Ranchi-811646",1570198769182,487020427872,Block2,Low,Yasti,268265537053,Spouse,50,,,,,,,,,,,,,,,,,1,4,3,3,4,4,5,5,2,2,5,7,5,5,2,2,1,1,5,6,No,-18.18,1,1,0,0,1
RAT10029,Rajeshri Anne,31,Female,"H.No. 437, Sama, Bhiwandi 053847",7970684035479,509368121387,Block5,Medium,Yashawini,834415491023,Son,55,Upadhriti,317772808755,Parent,51,Bimala,559193965639,Parent,15,Sara,361044256010,Spouse,51,,,,,2,2,1,4,5,5,5,5,3,3,4,4,5,7,4,4,3,6,3,3,Yes,-22.86,4,1,0,0,1
RAT10030,Pratyush Dhar,33,Male,"47/23, Bala Street, Nagercoil 893878",6966585302032,939219094141,Block4,Medium,Oviya,674283310478,Spouse,19,,,,,,,,,,,,,,,,,4,4,1,1,5,7,3,3,1,1,5,5,3,3,1,1,1,1,4,4,No,-7.14,1,1,0,0,1
RAT10031,Naveen Tandon,44,Female,"90/57, Kala Circle, Khora -971110",0048307800452,529009966248,Block3,Low,Yoshita,821853932415,Parent,11,Keya,843935409547,Parent,37,,,,,,,,,,,,,2,2,5,7,1,1,2,2,3,3,2,2,3,3,1,1,3,3,3,4,Yes,-12.0,2,1,0,0,1
RAT10032,Vasudha Seth,50,Female,"538, Balakrishnan Nagar, Maheshtala 143375",0311186261775,339336556648,Block4,High,Hamsini,128679383407,Spouse,34,Faraj,822635009234,Parent,42,Pallavi,608776980542,Daughter,58,Baghyawati,445435497644,Son,37,,,,,4,4,2,2,5,5,1,1,3,4,5,6,3,4,1,1,5,7,3,3,No,-15.62,4,1,0,0,1
RAT10033,Nandini Thaman,68,Male,"H.No. 018, Patla, Indore 840516",7633487948587,308387796629,Block2,Low,Charvi,135264522528,Daughter,7,Zinal,238504167100,Daughter,23,Zashil,710480636765,Son,14,Anita,435882232513,Son,57,Lajita,995201015095,Son,3,3,3,5,7,4,4,3,3,1,1,1,4,1,2,4,4,1,1,4,4,Yes,-22.22,5,1,0,0,1
RAT10034,Harita Yohannan,49,Female,"52, Narasimhan Nagar, Belgaum-955254",2853885979930,739068087870,Block3,Medium,Sai,133797414535,Daughter,35,,,,,,,,,,,,,,,,,4,6,3,3,4,4,3,3,1,4,1,1,1,4,4,4,3,3,4,4,No,-28.57,1,1,0,0,1
RAT10035,Maanav Patla,48,Male,"29/22, Brar Street, Latur-648363",6842483546386,977138378338,Block1,Medium,,,,,,,,,,,,,,,,,,,,,5,5,3,3,1,1,5,8,4,4,1,1,4,4,1,1,5,5,4,6,No,-15.15,0,1,0,0,1
RAT10036,Nitesh Ramachandran,44,Female,"H.No. 172, Bath Marg, Mahbubnagar-615864",1492098375609,374076098145,Block1,Low,Liam,998717216049,Son,14,Udant,587702144024,Daughter,47,Unnati,770886921731,Spouse,27,Samar,770194432279,Parent,45,,,,,4,4,1,3,5,5,4,4,4,4,2,2,3,3,3,3,4,4,2,2,No,-6.25,4,1,0,0,1
RAT10037,Vihaan Atwal,52,Male,"35, Kari Nagar, Saharanpur-678592",7975554748611,310016029458,Block3,High,Tanish,221604470452,Son,45,,,,,,,,,,,,,,,,,2,2,5,5,2,5,5,5,4,4,1,1,3,3,5,5,4,4,2,2,Yes,-9.09,1,1,0,1,1
RAT10038,Waida Barman,37,Male,"41/03, Anne Circle, Bangalore-202219",5844432783654,298321609577,Block4,Medium,Qasim,941953185447,Spouse,38,Aachal,175968884172,Parent,8,Rehaan,549520007802,Parent,10,,,,,,,,,1,1,5,5,3,3,3,3,1,1,4,4,1,1,4,4,5,5,2,2,Yes,0.0,3,0,0,0,1
RAT10039,Rachana Mannan,69,Male,"H.No. 276, Borde Zila, Faridabad-804771",1090784868787,792071014169,Block1,Medium,Aadi,626625661182,Spouse,51,Chatura,657763672293,Daughter,29,Unnati,360128401623,Son,2,Alexander,588061669345,Parent,19,Nidhi,877178280980,Son,2,3,3,4,4,1,1,5,5,5,5,5,5,1,1,2,2,5,6,4,4,Yes,-2.86,5,1,0,0,1
RAT10040,Balveer Patla,64,Female,"H.No. 921, Halder Circle, Pallavaram-962880",0350458652683,131359284546,Block1,Medium,,,,,,,,,,,,,,,,,,,,,3,3,5,5,3,3,5,5,4,4,1,4,3,3,3,3,1,2,4,4,Yes,-12.5,0,1,0,0,1
RAT10041,Tamanna Amble,50,Male,"H.No. 26, Savant Ganj, Durgapur-488928",2191728417800,602327399473,Block2,Low,Utkarsh,381021040203,Daughter,40,Manan,297870705319,Parent,19,Isha,358434732527,Parent,48,,,,,,,,,5,5,4,4,2,2,4,4,2,2,5,5,4,7,2,2,1,1,1,1,Yes,-10.0,3,1,0,0,1
RAT10042,Chakradhar Chanda,47,Male,"04/18, Kapadia Marg, Khandwa 312625",0882835706406,558308636259,Block3,Low,Aditya,193585261940,Parent,46,Advaith,550454816393,Spouse,49,,,,,,,,,,,,,3,6,1,1,3,3,3,3,5,6,5,5,2,2,2,2,4,7,2,2,No,-23.33,2,1,0,0,1
RAT10043,Umang Kari,31,Male,"386, Dara Nagar, Ghaziabad 258735",1185262018099,259912634893,Block5,Low,,,,,,,,,,,,,,,,,,,,,1,2,2,4,4,4,3,3,5,5,3,3,2,3,1,1,5,5,5,5,Yes,-12.9,0,1,0,0,1
RAT10044,Timothy Toor,60,Female,"59/46, Desai Ganj, Imphal 042262",6097557047732,674466251352,Block1,Medium,Tejas,936546019605,Daughter,14,Darika,909363951916,Spouse,22,Deepa,697372205806,Parent,57,Ekalinga,378338562223,Spouse,20,Harita,748418454445,Parent,7,2,2,2,4,4,4,2,2,4,4,4,4,4,4,3,3,3,5,4,4,No,-12.5,5,1,0,0,1
RAT10045,Charvi Savant,44,Male,"99, Amble Chowk, Malda-412231",3811505158960,136960217155,Block5,Medium,Aashi,186402030994,Daughter,57,Henry,927534654928,Spouse,27,Chandani,446055214079,Daughter,56,,,,,,,,,3,3,3,5,5,5,5,5,3,3,4,4,1,1,2,2,1,1,2,2,No,-6.9,3,1,0,0,1
RAT10046,Ethan Raja,43,Male,"H.No. 06, Soman, Bettiah-484139",2534250274690,145146241999,Block4,Medium,Advaith,362997939611,Son,39,,,,,,,,,,,,,,,,,3,6,1,1,2,2,3,3,3,6,1,1,5,5,3,3,4,4,3,3,No,-21.43,1,1,0,0,1
RAT10047,Vihaan Bahri,53,Male,"97/230, Dhingra Zila, Hosur 041638",7383700938968,238102632086,Block3,High,Max,687750774730,Son,46,Diya,830425814921,Son,13,Vedhika,679279090140,Daughter,18,Lakshmi,312577178572,Parent,48,,,,,5,5,5,5,5,5,5,5,1,1,4,4,5,5,5,7,4,4,5,5,Yes,-4.55,4,1,0,1,1
RAT10048,Urvashi Andra,38,Female,"93/07, Luthra Street, Mysore-126774",4712500531964,974585463078,Block5,Low,,,,,,,,,,,,,,,,,,,,,1,1,4,4,3,3,5,7,1,1,1,1,5,6,3,3,3,3,2,2,Yes,-10.71,0,1,0,0,1
RAT10049,Dayamai Gole,58,Female,"85/049, Oommen Zila, Aurangabad-718841",3929013247342,528219137281,Block4,Low,Vedhika,877717866990,Parent,22,Udarsh,949671201802,Parent,55,,,,,,,,,,,,,1,2,5,5,5,8,5,6,5,5,4,4,4,4,5,6,2,2,5,5,Yes,-14.63,2,1,0,0,1
RAT10050,Frederick Char,39,Male,"H.No. 65, Atwal Nagar, Ujjain 807336",6761952999856,823715655619,Block3,Medium,Jai,377147076051,Son,34,Xalak,231163427551,Spouse,37,Rayaan,986103536331,Daughter,22,,,,,,,,,5,5,1,1,1,1,5,8,5,8,3,3,1,1,2,2,1,1,3,6,No,-33.33,3,1,0,0,1
RAT10051,Jagrati Pai,35,Male,"82, Narayanan Zila, Rampur 307178",7100673834045,801575376136,Block2,Low,Finn,352949798074,Daughter,18,Ryan,109467768762,Spouse,17,,,,,,,,,,,,,5,5,3,3,2,2,3,3,5,5,1,4,1,1,3,3,1,1,2,2,Yes,-11.54,2,1,0,0,1
RAT10052,Nidhi Talwar,59,Male,"404, Venkatesh Street, Ghaziabad 745282",7396879598160,556049881717,Block2,High,Zansi,367424945019,Parent,21,Yatin,450705210443,Parent,53,Jagat,795667188729,Spouse,19,,,,,,,,,5,8,1,1,5,7,1,1,5,5,3,4,5,5,1,1,5,8,4,4,Yes,-25.71,3,1,0,1,1
RAT10053,Baljiwan Palan,62,Female,"99/925, Balay Marg, Karawal Nagar 995535",1634669775403,546297058763,Block1,Low,Bhavika,606799934298,Son,40,Qadim,374805001912,Daughter,56,Vyanjana,566778613067,Spouse,26,Anvi,983254690519,Parent,55,Lavanya,778105010874,Daughter,34,2,2,2,2,5,6,1,1,5,5,1,1,1,1,1,1,3,3,1,1,No,-4.55,5,1,0,0,1
RAT10054,Varsha Dani,55,Male,"65/535, Rana Road, Darbhanga-793383",9997725399376,761446439692,Block2,Low,Nirja,830541788986,Daughter,39,Gagan,611547929326,Spouse,28,,,,,,,,,,,,,2,2,2,2,3,3,2,2,4,4,3,3,1,4,1,2,4,4,1,2,No,-21.74,2,1,0,0,1
RAT10055,Krish Narayan,49,Male,"06/01, Bahri, Aurangabad 391501",5231560577772,627742554536,Block3,Low,Harish,290289692312,Daughter,42,,,,,,,,,,,,,,,,,1,3,2,2,3,3,3,3,4,4,1,1,5,5,5,5,2,2,5,5,No,-6.45,1,1,0,0,1
RAT10056,Falan Hayer,45,Female,"H.No. 861, Badal Street, Jaunpur 732610",3248031588969,380226775014,Block1,High,Saumya,723571907206,Parent,57,,,,,,,,,,,,,,,,,3,6,2,2,3,5,3,6,2,2,3,3,1,1,5,6,2,4,5,5,No,-37.93,1,1,0,0,1
RAT10057,Jhalak Dhawan,57,Male,"H.No. 889, Pandit Circle, Sambalpur 956454",3296881686543,765944858499,Block5,Low,,,,,,,,,,,,,,,,,,,,,3,3,1,1,4,4,5,5,4,4,4,6,3,6,4,4,1,1,2,2,No,-16.13,0,1,0,0,1
RAT10058,Lekha Tak,34,Male,"609, Bhakta Road, Pune 621865",0997046330665,396121850946,Block1,Medium,,,,,,,,,,,,,,,,,,,,,5,5,3,3,5,5,5,5,1,1,1,1,5,5,2,2,2,5,2,2,Yes,-9.68,0,1,0,0,1
RAT10059,Ekalinga Kapur,49,Female,"277, Muni Nagar, Durg-616457",3774116784991,729438068979,Block4,High,Vinaya,290067344892,Spouse,40,Isha,247098736515,Son,26,Liam,284193435949,Spouse,55,,,,,,,,,5,5,2,2,4,4,3,4,5,5,5,5,1,4,5,5,5,5,1,1,Yes,-11.11,3,1,0,1,1
RAT10060,Yachana Andra,57,Male,"70/590, Rana Nagar, Pondicherry 244380",1918368892690,854554292602,Block5,Medium,Odika,214291436936,Spouse,59,Reyansh,848730062477,Daughter,41,,,,,,,,,,,,,1,1,4,4,4,4,3,3,3,5,1,1,1,1,4,7,3,3,3,3,Yes,-18.52,2,1,0,0,1
RAT10061,Brinda Hari,59,Male,"H.No. 651, Chaudhari Zila, Guna-993279",6033312777365,484836722381,Block1,Medium,Anirudh,863014851721,Son,7,Upma,704504238841,Spouse,4,Triya,736208513150,Son,26,Triya,233903932899,Spouse,10,,,,,2,2,1,3,1,1,5,5,4,7,1,1,2,3,4,5,4,4,2,3,Yes,-30.77,4,1,1,0,1
RAT10062,Viraj Lala,25,Male,"699, Bandi Marg, Akola-712799",4149319289971,509725887758,Block5,Medium,Udyati,387027177589,Spouse,33,Alka,159400458262,Daughter,53,Girindra,719423207574,Son,43,Karan,817408708147,Son,49,,,,,2,2,2,2,5,5,5,5,3,5,5,5,1,3,4,6,4,4,3,3,Yes,-17.65,4,1,0,0,1
RAT10063,Anjali Yadav,41,Female,"83/346, De Road, Dibrugarh-152051",6364368228124,531832049240,Block2,High,Pranit,712936785610,Son,11,Bhavani,335065785577,Daughter,53,,,,,,,,,,,,,1,3,1,1,5,5,1,1,4,5,1,1,4,4,3,3,1,1,5,7,Yes,-19.23,2,1,0,1,1
RAT10064,Ekavir Suresh,51,Male,"25, Chakraborty Marg, Jalandhar-371784",9063424169116,652682179668,Block5,Medium,Zehaan,925858166560,Daughter,56,Ridhi,691704732319,Parent,2,Lucky,985782938094,Parent,31,Manbir,167411539958,Parent,53,,,,,5,8,2,2,2,2,1,1,5,5,1,1,4,4,5,5,3,3,3,3,Yes,-9.68,4,1,0,0,1
RAT10065,Aishani Palla,30,Male,"988, Nazareth Zila, Karawal Nagar 656837",5846195011335,121868578599,Block5,High,Nicholas,303129423349,Daughter,34,Andrew,907809928467,Spouse,23,Hemani,603799000686,Spouse,39,Charles,447626285694,Son,42,Jhalak,194355023992,Parent,25,4,4,3,6,5,8,4,4,4,4,3,3,1,1,1,1,4,7,4,4,Yes,-27.27,5,1,0,1,1
RAT10066,Maya Natt,26,Female,"H.No. 301, Dube Path, Surat-022622",3354702142541,221752301106,Block2,High,Kritika,745329239822,Son,52,Indali,636824002117,Parent,45,Chakradev,855562393246,Son,34,,,,,,,,,5,8,4,4,2,2,5,5,3,5,4,4,1,1,3,3,5,7,5,7,No,-24.32,3,1,0,0,1
RAT10067,Brijesh Upadhyay,26,Female,"H.No. 07, Pai Circle, Vasai-Virar 450432",3223120145690,928071573101,Block2,High,Zayan,516550062376,Spouse,43,Janaki,200311266976,Parent,32,Vamakshi,981014663363,Son,21,Lila,220157093594,Spouse,4,Hema,438798995847,Daughter,9,4,4,4,4,4,4,3,6,4,7,3,3,3,5,3,3,4,5,2,2,No,-26.47,5,1,0,0,1
RAT10068,Oliver Raval,64,Female,"97/307, Mishra Chowk, Nizamabad-736011",1649960004220,855290432357,Block1,Medium,Zansi,463508481247,Daughter,35,,,,,,,,,,,,,,,,,2,2,3,3,3,3,2,4,2,2,1,1,3,3,4,4,5,5,5,5,No,-6.67,1,1,0,0,1
RAT10069,Alexander Chakraborty,41,Male,"71/971, Chhabra Chowk, Hazaribagh 084811",0288616917478,890300285302,Block3,High,Panini,682476178350,Parent,39,Tanay,814766389018,Parent,19,Ikshita,824403192760,Spouse,21,Mohammed,489989275090,Son,13,,,,,5,5,5,5,3,6,4,4,1,1,1,1,2,4,4,7,5,7,1,1,Yes,-32.26,4,1,0,1,1
RAT10070,Vinaya Sama,65,Female,"75/34, Dutt Road, Kumbakonam-547955",6984325498833,921595512900,Block5,High,Harinakshi,685904022827,Spouse,9,Mekhala,743065874223,Spouse,8,,,,,,,,,,,,,2,3,2,4,4,4,4,4,4,4,2,2,4,4,2,2,1,1,4,4,No,-10.34,2,1,0,0,1
RAT10071,Gagan Narain,50,Male,"165, Shenoy Chowk, Giridih 964642",5493325838532,849690242388,Block4,High,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,6,1,1,3,3,5,5,4,5,3,3,3,3,5,5,No,-10.81,0,1,0,0,1
RAT10072,Turvi Choudhry,70,Female,"56/70, Doshi Nagar, Tinsukia 828535",2594498757470,251986067295,Block3,High,Tara,566310343010,Parent,55,Zaitra,787755182854,Son,24,Advik,124324457109,Parent,44,Veer,225624873586,Parent,27,,,,,5,5,5,5,5,5,4,7,3,6,3,3,3,3,1,1,4,5,1,1,Yes,-20.59,4,1,0,1,1
RAT10073,Balveer Sachdeva,64,Male,"H.No. 252, Batta Zila, Visakhapatnam-828261",9631198305250,237216277154,Block2,High,Falak,644410223343,Spouse,24,,,,,,,,,,,,,,,,,3,3,2,2,1,1,2,2,2,2,5,5,3,3,2,2,2,2,5,6,Yes,-3.7,1,1,0,1,1
RAT10074,Anya Banik,53,Female,"174, Keer Marg, Rewa-285513",2614822082839,475897463855,Block5,Low,Vedant,131629522187,Son,48,,,,,,,,,,,,,,,,,4,5,3,5,1,1,5,8,2,2,3,3,1,1,1,1,3,3,3,3,Yes,-23.08,1,1,0,0,1
RAT10075,Balhaar Luthra,39,Male,"H.No. 03, Agrawal Zila, Gorakhpur 515084",5612076863769,285936979134,Block4,High,Yash,857428418679,Daughter,32,Bakhshi,165653161236,Parent,23,Lohit,263809738306,Spouse,50,,,,,,,,,4,4,1,1,1,1,2,2,5,5,4,5,1,1,1,1,4,4,2,3,Yes,-8.0,3,1,0,1,1
